First Name,Surname,Team,Pos,£Start,£End,Total Points,Points Per Game,Transfers In,Transfers Out,Season Value,Minutes,Goals,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,BPS,Influence,Creativity,Threat,ICT Index,Influence Rank,Creativity Rank,Threat Rank,ICT Index Rank
Nabil,Bentaleb,NEW,MID,5,4.7,19,1.6,4598,3550,4,747,0,0,2,16,0,0,0,2,0,0,0,113,105,101,20,23,381,277,394,384
Filip,Benkovic,LEI,DEF,4,3.9,0,0,4445,2787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,497,465,519
Robbie,Brady,BUR,MID,5.5,5.5,32,1.9,4428,5083,5.8,445,1,2,1,10,0,0,0,1,0,0,0,112,119,102,128,35,364,274,254,346
Jonathan,Kodjia,AVL,FWD,5.5,5.4,5,0.8,4387,28038,0.9,111,0,0,0,6,0,0,0,1,0,0,0,14,3,12,24,4,489,421,386,457
Ravel,Morrison,SHU,MID,5,4.5,1,1,4360,14337,0.2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,600,474,438,504
Karl,Darlow,NEW,GKP,4.5,4.3,0,0,4234,8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,561,538,578
Timothy,Fosu-Mensah,MUN,DEF,4.5,4.5,7,2.3,4184,1040,1.6,136,0,0,1,1,0,0,0,1,0,0,0,27,12,29,6,4,465,383,432,456
Tyreke,Johnson,SOT,MID,4.5,4.4,0,0,3825,4803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,583,566,596
Richairo,Zivkovic,SHU,FWD,5,4.7,5,1,3808,2951,1.1,107,0,0,0,4,0,0,0,0,0,0,0,15,9,29,22,6,468,384,388,445
Charlie,Daniels,BOU,DEF,4.5,4.2,3,1.5,3567,17590,0.7,126,0,0,0,2,0,0,0,0,0,0,0,18,22,30,0,5,448,381,517,450
Michel,Vorm,SPU,GKP,4.5,4.2,0,0,3559,3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,542,514,560
Morgan,Gibbs-White,WOL,MID,5,4.7,11,1.6,3516,8006,2.3,125,0,1,0,2,0,0,0,0,0,0,0,39,7,44,12,6,476,354,411,444
Davide,Zappacosta,CHE,DEF,4.5,4.2,0,0,3512,28261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,549,523,568
Fraser,Forster,SOT,GKP,4.5,4.2,0,0,3487,50506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,544,516,562
Albian,Ajeti,WHU,FWD,6,5.6,9,1,3382,5996,1.6,132,0,0,0,3,0,0,0,0,0,0,0,16,5,23,47,7,481,400,353,437
Sam,Gallagher,SOT,FWD,4.5,4.5,0,0,3361,6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,591,577,603
Jairo,Riedewald,CRY,MID,4.5,4.5,22,1.3,3194,2401,4.9,761,0,0,0,9,0,0,0,0,0,0,0,116,117,47,27,19,366,350,377,397
Vincent,Janssen,SPU,FWD,4.5,4.5,0,0,3159,9523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,592,578,604
João Pedro,Junqueira de Jesus,WAT,FWD,5,4.8,3,1,3009,2418,0.6,22,0,0,0,1,0,0,0,0,0,0,0,8,4,6,8,2,484,434,424,481
Abd-Al-Ali Morakinyo Olaposi,Koiki,BUR,DEF,4,4,0,0,2983,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,526,495,546
Taylor,Perry,WOL,MID,4.5,4.5,0,0,2875,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,605,591,617
Juan,Foyth,SPU,DEF,5,4.8,3,0.8,2847,4198,0.6,66,0,0,0,3,0,0,0,1,0,0,0,9,19,13,0,3,453,420,634,466
Jean-Philippe,Gbamin,EVE,MID,5,4.8,4,2,2809,7260,0.8,135,0,0,1,0,0,0,0,0,0,0,0,14,20,6,0,3,451,436,631,473
Danny,Ward,LEI,GKP,4.5,4.2,0,0,2790,9933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,548,522,567
Romelu,Lukaku,MUN,FWD,8.5,8.5,0,0,2787,32204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,666,666,666
Jake,Eastwood,SHU,GKP,4.5,4.3,0,0,2763,14884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,569,548,584
Thomas,Allan,NEW,MID,4.5,4.5,0,0,2651,1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,606,592,618
Gaëtan,Bong,BHA,DEF,4.5,4.2,3,0.8,2474,8768,0.7,57,0,0,0,3,0,0,0,0,0,0,0,15,16,28,6,5,458,388,428,451
Harvey,Elliott,LIV,MID,4.5,4.5,2,1,2469,1886,0.4,7,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,497,458,606,501
Andy,Lonergan,LIV,GKP,4.5,4.2,0,0,2450,3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,534,506,553
William,Smallbone,SOT,MID,4.5,4.5,24,2.7,2421,1242,5.3,389,0,2,3,4,0,0,0,0,0,0,1,84,70,53,43,17,406,342,359,405
Jonas,Lössl,EVE,GKP,4.5,4.2,0,0,2409,31794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,546,519,564
Yves,Bissouma,BHA,MID,5,5,39,1.8,2389,2011,7.8,1253,1,0,4,18,0,0,0,4,0,0,0,207,239,111,101,45,285,264,280,318
Bailey,Peacock-Farrell,BUR,GKP,4.5,4.3,0,0,2351,4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,570,549,585
Zech,Medley,ARS,DEF,4,4,0,0,2330,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,516,485,536
José Diogo,Dalot Teixeira,MUN,DEF,5,4.9,4,1,2243,11657,0.8,65,0,0,0,1,0,0,0,0,0,0,0,10,10,4,6,2,466,442,434,478
Matt,Macey,ARS,GKP,4,4,0,0,2144,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,510,479,530
Michael,Verrips,SHU,GKP,4.5,4.4,0,0,2131,2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,579,562,592
James,Chester,AVL,DEF,4.5,4.2,0,0,2107,8480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,545,518,563
Luke,Cundle,WOL,MID,4.5,4.5,0,0,2055,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,611,597,623
Chris,Smalling,MUN,DEF,5.5,5.2,0,0,2053,16876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,651,648,655
Jake,Vokins,SOT,DEF,4,4,2,2,2046,734,0.5,90,0,0,0,1,0,0,0,0,0,0,0,10,8,17,3,3,469,409,440,469
Lovre,Kalinic,AVL,GKP,4.5,4.2,0,0,2037,5879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,547,521,566
Valentino,Lazaro,NEW,MID,5.5,5.3,19,1.5,2004,1648,3.6,472,1,0,0,13,0,0,0,0,1,0,0,81,84,88,38,21,394,287,365,391
Jack,Rodwell,SHU,MID,4.5,4.5,1,1,2003,1355,0.2,15,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,499,587,571,507
Alexis,Sánchez,MUN,MID,7,6.8,0,0,1975,44847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,664,664,664
Ben,Osborn,SHU,MID,5,4.7,19,1.5,1967,3626,4,590,0,0,2,4,0,0,0,0,0,0,0,84,78,109,65,25,399,268,329,375
Ki-Jana,Hoever,LIV,DEF,4,3.9,0,0,1948,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,504,473,525
Kieran,Trippier,SPU,DEF,5.5,5.5,0,0,1946,15746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,662,660,662
Josh,Brownhill,BUR,MID,5,4.8,21,2.1,1938,810,4.4,805,0,0,4,10,0,0,0,2,0,0,0,111,101,59,49,21,384,330,350,392
Ethan,Ampadu,CHE,MID,4.5,4.3,0,0,1935,2843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,567,545,582
Pedro,Obiang,WHU,MID,4.5,4.5,0,0,1920,5583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,588,573,600
Bruno André,Cavaco Jordao,WOL,MID,4.5,4.5,1,1,1913,1146,0.2,6,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,1,493,425,600,487
Timm,Klose,NOR,DEF,4.5,4.3,9,1.3,1903,6648,2.1,585,0,0,0,13,0,0,0,0,0,0,0,77,121,3,42,17,362,450,360,404
Indiana,Vassilev,AVL,MID,4.5,4.5,4,1,1865,1188,0.9,47,0,0,0,1,0,0,0,0,0,0,0,8,1,2,7,1,500,462,427,496
Eldin,Jakupovic,LEI,GKP,4.5,4.2,0,0,1851,6012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,535,507,554
Lukas,Rupp,NOR,MID,4.5,4.4,19,1.6,1827,1311,4.3,692,0,0,1,18,0,0,0,1,0,0,0,79,70,109,88,26,405,266,296,369
Pontus,Dahlberg,WAT,GKP,4.5,4.2,0,0,1794,7396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,555,529,573
Georges-Kévin,Nkoudou,SPU,MID,5,5,1,1,1788,2547,0.2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,2,651,647,398,480
Andrew,Surman,BOU,MID,5,4.7,6,1.2,1767,4646,1.3,234,0,0,0,6,0,0,0,1,0,0,0,28,24,26,8,6,446,393,423,448
Borja,González Tomás,AVL,FWD,5.5,5.3,2,1,1732,1458,0.4,16,0,0,0,2,0,0,0,0,0,0,0,5,0,2,2,0,505,459,448,502
Armando,Broja,CHE,FWD,4.5,4.5,1,1,1710,1239,0.2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,627,479,604,629
Patrick,Roberts,NOR,MID,5.5,5,3,1,1703,7993,0.6,24,0,0,0,2,0,0,0,0,0,0,0,12,4,1,0,1,482,476,643,499
Jed,Steer,AVL,GKP,4.5,4.3,1,1,1685,7353,0.2,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,577,563,541,579
Marko,Arnautovic,WHU,FWD,7,7,0,0,1674,8046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,665,665,665
Alexis,Mac Allister,BHA,MID,5.5,5.4,12,1.3,1656,1136,2.2,348,0,0,0,6,0,0,0,0,0,0,0,35,28,74,66,17,442,304,326,403
Nathaniel,Phillips,LIV,DEF,4,3.9,0,0,1653,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,495,463,517
Rolando,Aarons,NEW,MID,5,4.8,0,0,1631,4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,636,630,644
Jimmy,Dunne,BUR,DEF,4,4,0,0,1626,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,520,489,540
Beni,Baningime,EVE,MID,4.5,4.4,0,0,1611,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,580,563,593
Caoimhin,Kelleher,LIV,GKP,4.5,4.4,0,0,1610,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,582,565,595
Mario,Lemina,SOT,MID,5,4.6,0,0,1529,10758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,628,618,640
Jose Luis,Mato Sanmartín,NEW,FWD,5,5,0,0,1481,4208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,644,640,650
Ayotomiwa,Dele-Bashiru,WAT,MID,4.5,4.4,0,0,1432,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,577,559,590
Nathan,Holland,WHU,MID,4.5,4.4,2,1,1400,1216,0.5,31,0,0,0,1,0,0,0,0,0,0,0,10,13,4,9,3,463,443,419,474
Arnaut,Danjuma Groeneveld,BOU,MID,6,5.8,24,1.7,1386,5211,4.1,625,0,1,2,12,0,0,0,0,0,0,0,60,61,83,139,28,413,293,243,365
Sung-yueng,Ki,NEW,MID,5,4.7,4,1.3,1365,5192,0.9,135,0,0,0,6,0,0,0,0,0,0,0,18,18,40,0,6,454,362,623,447
Leon,Balogun,BHA,DEF,4.5,4.3,0,0,1364,5318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,559,536,576
Luke,Amos,SPU,MID,4.5,4.4,0,0,1342,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,576,558,589
James,Daly,CRY,FWD,4.5,4.5,0,0,1323,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,616,603,628
Wesley,Hoedt,SOT,DEF,4.5,4.2,0,0,1221,5152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,553,527,571
Max,Thompson,BUR,FWD,4.5,4.5,1,1,1207,693,0.2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,634,623,612,636
Christian,Saydee,BOU,MID,4.5,4.5,0,0,1204,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,621,610,634
Konstantinos,Mavropanos,ARS,DEF,4.5,4.3,0,0,1185,5056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,572,552,587
Matthew,Smith,ARS,DEF,4,4,0,0,1167,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,522,491,542
Bobby,Thomas,BUR,DEF,4,4,0,0,1155,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,531,500,551
Jordan,Thomas,NOR,DEF,4,4,1,1,1141,433,0.2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,545,527,496,547
Lukas,Jensen,BUR,GKP,4,4,0,0,1135,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,529,498,549
Hélder,Costa,WOL,MID,5,4.8,0,0,1085,2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,637,632,645
Tyreece,John-Jules,ARS,FWD,4.5,4.4,0,0,1056,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,585,569,598
Lee,Grant,MUN,GKP,5,4.7,0,0,1034,5379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,629,620,641
Robert Kenedy,Nunes do Nascimento,CHE,MID,5.5,5.2,0,0,989,4695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,654,652,658
João Manuel,Neves Virgínia,EVE,GKP,4,4,0,0,980,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,521,490,541
Charlie,Austin,SOT,FWD,6,6,0,0,967,9311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,663,661,663
Ken,Sema,WAT,MID,5,4.7,0,0,904,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,633,626,643
Leonardo,Campana,WOL,FWD,4.5,4.5,0,0,878,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,624,613,637
Mace,Goodridge,BUR,MID,4.5,4.5,0,0,865,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,596,583,609
Ignacio,Pussetto,WAT,MID,5,4.6,6,0.9,813,695,1.3,67,0,0,0,3,0,0,0,1,0,0,0,20,29,5,2,4,441,439,445,461
Danilo Luiz,da Silva,MCI,DEF,5,5,0,0,808,6018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,646,642,652
Birkir,Bjarnason,AVL,MID,4.5,4.5,0,0,806,7921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,586,570,599
Simon,Mignolet,LIV,GKP,4.5,4.5,0,0,806,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,589,574,601
Ivan,Cavaleiro,WOL,MID,5,4.9,0,0,802,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,642,638,648
Laurent,Koscielny,ARS,DEF,5,5,0,0,782,12898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,643,639,649
Gavin,Kilkenny,BOU,MID,4.5,4.5,0,0,750,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,617,605,630
Panagiotis,Retsos,SHU,DEF,4.5,4.5,0,0,745,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,604,590,616
Bernardo,Costa Da Rosa,WHU,MID,4.5,4.5,0,0,741,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,609,595,621
Rachid,Ghezzal,LEI,MID,5.5,5.1,0,0,671,3983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,650,647,654
Owen,Otasowie,WOL,MID,4.5,4.5,0,0,669,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,612,598,624
Matteo,Darmian,MUN,DEF,5,4.9,0,0,647,5008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,640,636,647
Rafael,Camacho,LIV,MID,4.5,4.5,0,0,628,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,601,587,613
Taylor,Harwood-Bellis,MCI,DEF,4,4,0,0,626,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,525,494,545
Dennis,Cirkin,SPU,DEF,4,4,0,0,601,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,532,501,552
Mihai-Alexandru,Dobre,BOU,MID,4.5,4.4,0,0,591,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,584,567,597
Brandon,Pierrick,CRY,MID,4.5,4.5,2,1,580,425,0.4,13,0,0,0,0,0,0,0,0,0,0,0,7,6,21,2,3,477,403,444,468
Idrissa,Gueye,EVE,MID,5,5,0,0,557,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,645,641,651
Faustino,Anjorin,CHE,MID,4.5,4.5,1,1,542,372,0.2,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,1,614,466,420,493
Carl,Jenkinson,ARS,DEF,4.5,4.5,0,0,534,2720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,590,575,602
Nya,Kirby,CRY,MID,4.5,4.5,0,0,530,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,598,584,610
Andre,Green,AVL,MID,5,4.8,0,0,524,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,638,633,646
Adalberto,Peñaranda,WAT,FWD,4.5,4.5,0,0,523,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,594,581,607
Matthew,Clarke,BHA,DEF,4.5,4.3,0,0,498,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,565,543,580
Mark,Duffy,SHU,MID,5.5,5.2,0,0,408,5348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,652,649,656
Anthony,Knockaert,BHA,MID,5.5,5.3,0,0,408,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,658,656,659
Steven,Defour,BUR,MID,5.5,5.5,0,0,402,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,661,659,661
Mohamed,Elyounoussi,SOT,MID,5.5,5.2,0,0,399,3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,653,650,657
Giovanni,McGregor,CRY,MID,4.5,4.5,0,0,378,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,608,594,620
José Heriberto,Izquierdo Mena,BHA,MID,5.5,5.4,0,0,338,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,660,658,660
Jacob,Murphy,NEW,MID,5,4.7,0,0,310,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,631,624,642
Ademola,Lookman,EVE,MID,5,5,0,0,288,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,648,644,653
Darnell,Johnson,LEI,DEF,4,4,0,0,268,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,512,481,532
Nikola,Tavares,CRY,DEF,4,4,0,0,265,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,524,493,544
Josh,Martin,NOR,MID,4.5,4.5,5,1,263,166,1.1,32,0,0,0,2,0,0,0,0,0,0,0,14,7,1,17,3,475,473,402,475
Harvey,White,SPU,MID,4.5,4.5,0,0,231,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,618,607,631
Alfie,Lewis,WHU,MID,4.5,4.5,0,0,194,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,599,585,611
Tommy,Doyle,MCI,MID,4.5,4.5,1,1,182,92,0.2,15,0,0,0,0,0,0,0,0,0,0,0,3,4,2,7,1,487,454,426,486
Jack,Young,NEW,MID,4.5,4.5,0,0,145,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,607,593,619
George,Hirst,LEI,FWD,4.5,4.5,2,1,141,52,0.4,9,0,0,0,1,0,0,0,0,0,0,0,3,3,1,25,3,490,475,379,472
Cole,Palmer,MCI,MID,4.5,4.5,0,0,140,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,610,596,622
Josh,Benson,BUR,MID,4.5,4.5,0,0,116,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,600,586,612
Kaine,Hayden,AVL,MID,4.5,4.5,0,0,103,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,625,614,638
Alex,Cochrane,BHA,DEF,4,4,0,0,101,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,519,488,539
Nathan,Tella,SOT,MID,4.5,4.5,1,1,75,60,0.2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,17,2,492,597,401,477
Ellis,Simms,EVE,FWD,4.5,4.5,0,0,74,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,602,588,614
Conor,Coventry,WHU,MID,4.5,4.5,0,0,68,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,603,589,615
Will,Ferry,SOT,MID,4.5,4.5,0,0,67,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,613,599,625
Lewis,Bate,CHE,MID,4.5,4.5,0,0,64,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,620,609,633
Joel,Mumbongo,BUR,FWD,4.5,4.5,0,0,57,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,614,601,626
Alexandre,Jankewitz,SOT,MID,4.5,4.5,0,0,45,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,619,608,632
John-Kymani,Gordon,CRY,MID,4.5,4.5,0,0,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,622,611,635
Jacob,Maddox,SOT,MID,4.5,4.5,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,593,579,605
Daniel,Adshead,NOR,MID,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,615,602,627